,Cat #01,,,Cat #02,,,Cat #03,,,Cat #04,,,Cat #05,,,Cat #06,,,Cat #07,,,Cat #08,,,Cat #09,,,Cat #10,,
,xbar,ybar,zbar,xbar,ybar,zbar,xbar,ybar,zbar,xbar,ybar,zbar,xbar,ybar,zbar,xbar,ybar,zbar,xbar,ybar,zbar,xbar,ybar,zbar,xbar,ybar,zbar,xbar,ybar,zbar
640,0.44347,0.1724,-0.0087328,0.49211,0.19298,-0.0096176,0.4237,0.16306,-0.0084157,0.42898,0.16683,-0.0084445,0.51628,0.19878,-0.01025,0.425,0.16464,-0.0083942,0.49325,0.19458,-0.0095898,0.45639,0.17577,-0.0090593,0.4507,0.17507,-0.0088811,0.46575,0.17882,-0.009269
645,0.36047,0.13685,-0.0072413,0.39972,0.15302,-0.0079744,0.34414,0.1295,-0.0069632,0.34476,0.13125,-0.0069098,0.42156,0.15869,-0.0085271,0.34591,0.13087,-0.0069683,0.40275,0.15478,-0.0080088,0.37252,0.14018,-0.0075375,0.36707,0.13922,-0.0073798,0.37815,0.14211,-0.0076594
650,0.28107,0.10534,-0.0057056,0.31108,0.11755,-0.0062727,0.2686,0.099828,-0.0054891,0.26551,0.099908,-0.0053723,0.33462,0.12417,-0.0068469,0.27398,0.10212,-0.0055862,0.31558,0.11952,-0.0063518,0.29349,0.10896,-0.0060028,0.28774,0.10766,-0.0058489,0.29461,0.10939,-0.0060252
655,0.21371,0.079192,-0.0043776,0.23728,0.088586,-0.0048315,0.20394,0.07497,-0.0042035,0.20123,0.074831,-0.0041105,0.25705,0.094241,-0.0053094,0.20946,0.077215,-0.0043081,0.24094,0.090196,-0.0048956,0.22423,0.08235,-0.0046252,0.2194,0.081203,-0.0044983,0.22419,0.082313,-0.0046254
660,0.16028,0.058751,-0.003311,0.17819,0.065773,-0.0036612,0.1528,0.055596,-0.0031744,0.15055,0.055378,-0.0031018,0.19352,0.070215,-0.0040291,0.15728,0.057373,-0.0032613,0.18118,0.067033,-0.0037156,0.16853,0.06126,-0.0035039,0.16473,0.060318,-0.0034057,0.16816,0.061116,-0.0034966
665,0.1186,0.043093,-0.0024666,0.13165,0.048162,-0.0027239,0.1131,0.040816,-0.0023644,0.1109,0.040459,-0.0022992,0.14375,0.051733,-0.0030114,0.1168,0.042226,-0.0024384,0.13427,0.049192,-0.0027746,0.12505,0.04507,-0.0026168,0.12202,0.044281,-0.00254,0.12433,0.044837,-0.0026006
670,0.086565,0.031284,-0.0018077,0.095946,0.034908,-0.0019934,0.082603,0.029658,-0.0017334,0.080543,0.029241,-0.0016761,0.10544,0.037748,-0.0022175,0.085664,0.03079,-0.0017962,0.09813,0.035732,-0.0020375,0.091567,0.032824,-0.0019238,0.089189,0.032185,-0.0018645,0.090691,0.032547,-0.0019038
675,0.062309,0.022432,-0.0013049,0.068958,0.02499,-0.001437,0.059504,0.021286,-0.0012521,0.057663,0.02086,-0.0012032,0.076322,0.027213,-0.0016098,0.061996,0.022193,-0.0013038,0.07071,0.025642,-0.0014728,0.066132,0.023617,-0.0013933,0.064301,0.023114,-0.0013481,0.065244,0.02333,-0.0013733
680,0.044203,0.015871,-0.00092758,0.048856,0.017656,-0.0010202,0.042246,0.015073,-0.00089064,0.040711,0.014692,-0.00085106,0.05445,0.019358,-0.001151,0.04423,0.015786,-0.00093224,0.050209,0.018155,-0.0010481,0.047068,0.016763,-0.00099364,0.045689,0.016379,-0.00095987,0.046263,0.016501,-0.00097558
685,0.030892,0.011072,-0.00064914,0.034077,0.012292,-0.00071264,0.029561,0.010528,-0.00062408,0.028218,0.010168,-0.00059055,0.038327,0.013593,-0.00081161,0.031132,0.011088,-0.00065721,0.035128,0.012678,-0.00073431,0.033037,0.011743,-0.00069843,0.032007,0.011453,-0.00067338,0.032312,0.011503,-0.00068233
690,0.021229,0.0075999,-0.00044644,0.023419,0.0084381,-0.00049015,0.020315,0.0072276,-0.0004292,0.019455,0.0070022,-0.00040753,0.026444,0.0093678,-0.00056045,0.021489,0.0076426,-0.0004541,0.024145,0.0087033,-0.00050517,0.022736,0.0080724,-0.00048107,0.022004,0.0078643,-0.00046331,0.022202,0.0078976,-0.00046913
695,0.014783,0.0052883,-0.00031106,0.01632,0.005876,-0.00034175,0.014134,0.0050258,-0.00029874,0.013573,0.0048821,-0.00028445,0.018288,0.0064789,-0.00038756,0.014855,0.005281,-0.00031401,0.016808,0.0060522,-0.00035196,0.015781,0.0055997,-0.00033404,0.015295,0.0054621,-0.00032225,0.015464,0.0054983,-0.00032687
700,0.010292,0.0036813,-0.00021658,0.011358,0.0040892,-0.00023786,0.0098423,0.0034992,-0.00020804,0.0094417,0.0033959,-0.00019787,0.012751,0.0045165,-0.00027027,0.010358,0.0036813,-0.00021899,0.011704,0.0042137,-0.00024512,0.010997,0.0039013,-0.0002328,0.010653,0.0038038,-0.00022448,0.010765,0.0038271,-0.00022755
705,0.0071399,0.0025538,-0.00015025,0.0078729,0.0028344,-0.00016488,0.0068317,0.0024287,-0.00014442,0.0065223,0.0023463,-0.00013667,0.0088665,0.0031395,-0.00018797,0.0072014,0.0025592,-0.00015227,0.0081229,0.0029245,-0.00017011,0.0076406,0.0027105,-0.00016176,0.0073975,0.0026413,-0.00015588,0.0074665,0.0026541,-0.00015785
710,0.0048932,0.0017509,-0.00010294,0.0053912,0.0019418,-0.00011287,0.0046852,0.001666,-9.90E-05,0.0044594,0.0016052,-9.34E-05,0.0061075,0.0021624,-0.00012949,0.0049619,0.0017634,-0.00010492,0.0055694,0.002006,-0.0001166,0.0052502,0.0018628,-0.00011114,0.0050768,0.0018132,-0.00010695,0.0051155,0.001819,-0.00010812
715,0.0033495,0.0011996,-7.04E-05,0.0036925,0.0013313,-7.72E-05,0.0032057,0.001141,-6.77E-05,0.0030628,0.0011035,-6.41E-05,0.0041736,0.0014793,-8.84E-05,0.0033911,0.0012061,-7.17E-05,0.0038114,0.0013739,-7.97E-05,0.0035897,0.0012747,-7.59E-05,0.0034725,0.0012412,-7.31E-05,0.0035024,0.0012467,-7.40E-05
720,0.0023129,0.00082914,-4.86E-05,0.0025506,0.00092056,-5.33E-05,0.0022129,0.00078836,-4.67E-05,0.0021166,0.00076333,-4.43E-05,0.0028724,0.0010193,-6.08E-05,0.0023333,0.00083075,-4.93E-05,0.0026313,0.00094939,-5.50E-05,0.002475,0.0008797,-5.23E-05,0.0023959,0.00085721,-5.04E-05,0.0024189,0.00086183,-5.10E-05
725,0.0015989,0.00057382,-3.36E-05,0.0017637,0.00063736,-3.68E-05,0.0015295,0.00054549,-3.23E-05,0.0014663,0.00052946,-3.06E-05,0.0019847,0.00070512,-4.20E-05,0.0016123,0.00057464,-3.40E-05,0.0018187,0.00065695,-3.80E-05,0.0017103,0.00060851,-3.61E-05,0.0016557,0.00059303,-3.48E-05,0.0016723,0.00059655,-3.53E-05
730,0.0011132,0.00040001,-2.33E-05,0.0012284,0.00044454,-2.56E-05,0.0010644,0.00038009,-2.24E-05,0.0010225,0.0003697,-2.13E-05,0.0013772,0.00049002,-2.91E-05,0.0011186,0.00039921,-2.36E-05,0.0012658,0.00045781,-2.64E-05,0.0011887,0.00042348,-2.51E-05,0.0011517,0.000413,-2.42E-05,0.0011645,0.00041594,-2.45E-05
735,0.00077601,0.00027924,-1.63E-05,0.00085606,0.00031025,-1.78E-05,0.00074218,0.00026537,-1.56E-05,0.00071176,0.00025774,-1.48E-05,0.00096071,0.00034223,-2.03E-05,0.00078028,0.00027881,-1.64E-05,0.00088251,0.00031964,-1.84E-05,0.00082919,0.00029574,-1.75E-05,0.00080316,0.0002884,-1.69E-05,0.00081176,0.00029031,-1.71E-05
